DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
12017C,12017C0068D,0068,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0177D,0177,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0181D,0181,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0183D,0183,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0184D,0184,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0245D,0245,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0235D,0235,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0265D,0265,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0363D,0363,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0361D,0361,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0451D,0451,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0452D,0452,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
